METHOD;SALT;ROUNDS;PASSWORD;HASH;CMD
sha-256;HibDJc1Tq;99999;3;$5$rounds=99999$HibDJc1Tq$V0063miG4IDPJwMPHsDrHmb9f/qPDQG2e96dnzn.q40;mkpasswd 3 -m sha-256 -S HibDJc1Tq -R 99999
sha-256;sCdmne9FuM;;0;$5$sCdmne9FuM$nYWjGE/zoaL4NWqCsU7qjZkVfBAm89ee85i7NcfVPa.;mkpasswd 0 -m sha-256 -S sCdmne9FuM
sha-256;doKi.uSbIO;1000;z;$5$rounds=1000$doKi.uSbIO$zSpNZjRNzBl.PoCqrUXkWEKZeYVsGWtTTaawZdQ8cz4;mkpasswd z -m sha-256 -S doKi.uSbIO -R 1000
sha-256;BgKa8HmlB2;5000;W;$5$rounds=5000$BgKa8HmlB2$85TawzOZOSqqJbdrLcNlXsc6tzNL6z.PCkZBnE9ij36;mkpasswd W -m sha-256 -S BgKa8HmlB2 -R 5000
sha-256;mvKga4YlUb;6666;E;$5$rounds=6666$mvKga4YlUb$6VK2M7IVkiFaOkaG/CIc.1KlBnEfSwOnMW0/bDbjCbD;mkpasswd E -m sha-256 -S mvKga4YlUb -R 6666
sha-256;rqLZZE//Zi;99999;e;$5$rounds=99999$rqLZZE//Zi$gEQRTGT2htgdscv6ADSxc58Tbb5Ykpvv1DggQPZurR1;mkpasswd e -m sha-256 -S rqLZZE//Zi -R 99999
sha-256;vLPeVJh5jgp;;k;$5$vLPeVJh5jgp$rfiS8sJsOQsEkLdyrSuwvBXKqtcUJqR.hZ5qyUFgko0;mkpasswd k -m sha-256 -S vLPeVJh5jgp
sha-256;CdRBLiqJO.c;1000;V;$5$rounds=1000$CdRBLiqJO.c$3NCiltMyC6rAOCWSnWvPK1FVLPRRP5TD9PrQnvx3nl3;mkpasswd V -m sha-256 -S CdRBLiqJO.c -R 1000
sha-256;isJ4En0CdU7;5000;1;$5$rounds=5000$isJ4En0CdU7$c.4UzXKasYuSbdY8lU7gk219mE85bgL.dFc4PjKoPI0;mkpasswd 1 -m sha-256 -S isJ4En0CdU7 -R 5000
sha-256;SD9ts8bi7h3;6666;/;$5$rounds=6666$SD9ts8bi7h3$VmD1m3TIO9b6btFo4LP/nlE38VDr4VBaZXRDvif4d.A;mkpasswd / -m sha-256 -S SD9ts8bi7h3 -R 6666
sha-256;7Vu6cDRYgMy;99999;c;$5$rounds=99999$7Vu6cDRYgMy$NW.96v6yFNKBjBjsICNO979r4jEO4iN26TZwEeLU3j6;mkpasswd c -m sha-256 -S 7Vu6cDRYgMy -R 99999
sha-256;TdWN4WUawZJa;;B;$5$TdWN4WUawZJa$xTL.2mU/gWHVtzkuSg4AueuNFBPDGShj6F2puhW5iPC;mkpasswd B -m sha-256 -S TdWN4WUawZJa
sha-256;ztDcQ/D8.EhE;1000;5;$5$rounds=1000$ztDcQ/D8.EhE$HSICCsYkX4h4iD2um.WvEsHV3cgkdMSARtptz6XNE2B;mkpasswd 5 -m sha-256 -S ztDcQ/D8.EhE -R 1000
sha-256;AV0peT4jkGJK;5000;7;$5$rounds=5000$AV0peT4jkGJK$neXgusRLvYBQ5ugEqEbdzWdpHiqUFMMspTaL6xHT935;mkpasswd 7 -m sha-256 -S AV0peT4jkGJK -R 5000
sha-256;34KOGrCmXFTo;6666;K;$5$rounds=6666$34KOGrCmXFTo$Stz1jmMzj4mRpYUy3kqgXH2P03f0Vgka3aDujINp2z0;mkpasswd K -m sha-256 -S 34KOGrCmXFTo -R 6666
sha-256;R2dwHSyApmdK;99999;4;$5$rounds=99999$R2dwHSyApmdK$I8KRp/vdB0IL/Fg5IblavjYg2XzRt3xbnZwidFAgFkB;mkpasswd 4 -m sha-256 -S R2dwHSyApmdK -R 99999
sha-256;sHIfKavPlLYG.;;C;$5$sHIfKavPlLYG.$bAns1Au3PVvgi67EnO9Rk8ZLaxgPuYeBS5XU2/DFOL4;mkpasswd C -m sha-256 -S sHIfKavPlLYG.
sha-256;wa8QpREfpZjDp;1000;m;$5$rounds=1000$wa8QpREfpZjDp$jj4C0LyYL2OJw9welYW975XR2bIteu//vfAOQvb5vE6;mkpasswd m -m sha-256 -S wa8QpREfpZjDp -R 1000
sha-256;YmtSWn7PxQRSf;5000;n;$5$rounds=5000$YmtSWn7PxQRSf$BxXAEaOgOR/atRWijyPv4hrb4KX0zh/PtuXUJqxtw65;mkpasswd n -m sha-256 -S YmtSWn7PxQRSf -R 5000
sha-256;7XcTVKxDZVUB8;6666;f;$5$rounds=6666$7XcTVKxDZVUB8$jlRpkgqDrGo7G3t4tQR9/Wt0lGuqyJy4A8.cKVR7MQ2;mkpasswd f -m sha-256 -S 7XcTVKxDZVUB8 -R 6666
sha-256;m9o2pLv/oFrO0;99999;+;$5$rounds=99999$m9o2pLv/oFrO0$cQaV..MskFNOlzD.NL9E9Gn9nyhHmoizdBwwbZ8J8B0;mkpasswd + -m sha-256 -S m9o2pLv/oFrO0 -R 99999
sha-256;hGRcRMV/hCdkLv;;E;$5$hGRcRMV/hCdkLv$MSHSsjBR0xBMtBg0ZqPjf9Hgu59oaX7GpIKPvkrVtP1;mkpasswd E -m sha-256 -S hGRcRMV/hCdkLv
sha-256;WcpQ.60H8VwrsJ;1000;t;$5$rounds=1000$WcpQ.60H8VwrsJ$PKn22UToKq6RFBKhNX/ODPZUfs0H11A42Df4IQZTcw2;mkpasswd t -m sha-256 -S WcpQ.60H8VwrsJ -R 1000
sha-256;9nr8QiUWmQU3u8;5000;l;$5$rounds=5000$9nr8QiUWmQU3u8$V52lQujZA.zvf612FCOZxMLjumjRbsJFHErnDDz9OT0;mkpasswd l -m sha-256 -S 9nr8QiUWmQU3u8 -R 5000
sha-256;olyWIWhqjuED/I;6666;V;$5$rounds=6666$olyWIWhqjuED/I$k.5X7QYo7Kf/.NDIuF5gf7nDa.OToO74hdJcYw5NTPD;mkpasswd V -m sha-256 -S olyWIWhqjuED/I -R 6666
sha-256;ALHPimT6Qyp53n;99999;V;$5$rounds=99999$ALHPimT6Qyp53n$fl0SgEi794/UEGqUgDuuZ7B4.R8s/eW/LeOzq3bn134;mkpasswd V -m sha-256 -S ALHPimT6Qyp53n -R 99999
sha-256;qgFwBVM4LfzJf6a;;+;$5$qgFwBVM4LfzJf6a$2wTILJwMpxwMCrKgo84Avz3MgGSdOn1M9U.Dek2HtJ0;mkpasswd + -m sha-256 -S qgFwBVM4LfzJf6a
sha-256;rGvePsuyYJzSG.8;1000;i;$5$rounds=1000$rGvePsuyYJzSG.8$xx0GJNDe4wHd33jhArUUODMeNZQ1Zy0HBk40xzuGAp/;mkpasswd i -m sha-256 -S rGvePsuyYJzSG.8 -R 1000
sha-256;oVTXJHqJ8VBMwqu;5000;v;$5$rounds=5000$oVTXJHqJ8VBMwqu$SF617F0A7Hf3ktkct66SDMJ1ifauf11GI3tF.CLv6b1;mkpasswd v -m sha-256 -S oVTXJHqJ8VBMwqu -R 5000
sha-256;KOeo8Q/nxBziVjf;6666;A;$5$rounds=6666$KOeo8Q/nxBziVjf$KRwER6uTUVAKFNeDY4ewn8sFx9MI76mGDSz2h1egX5C;mkpasswd A -m sha-256 -S KOeo8Q/nxBziVjf -R 6666
sha-256;DhmrNjhHlkgJd7t;99999;P;$5$rounds=99999$DhmrNjhHlkgJd7t$mO7zllkkZxC4hSeG856vm0tHrqaCAm3fm5bmlRzcYH1;mkpasswd P -m sha-256 -S DhmrNjhHlkgJd7t -R 99999
sha-256;YvCJqUb0dpTV1vZq;;T;$5$YvCJqUb0dpTV1vZq$hn6yQxuM/Kmtf26Ck2iwrQCWYEz/sS/4e/sYwErixwD;mkpasswd T -m sha-256 -S YvCJqUb0dpTV1vZq
sha-256;lIYIitmV8zCvNXkT;1000;i;$5$rounds=1000$lIYIitmV8zCvNXkT$6NVFw1KBESC4/8l/N2mvMiAPnq5MH2eHq0buJLVJxy1;mkpasswd i -m sha-256 -S lIYIitmV8zCvNXkT -R 1000
sha-256;c.rwDGpbnpcFfjxL;5000;W;$5$rounds=5000$c.rwDGpbnpcFfjxL$neua1K5OsVOuSawk2UIrsQrU1GJOpbt05u/d5EARvU9;mkpasswd W -m sha-256 -S c.rwDGpbnpcFfjxL -R 5000
sha-256;bTkS2d9l22Y0fftm;6666;c;$5$rounds=6666$bTkS2d9l22Y0fftm$xPJnABwW5WDXqic07qa3I6KQz/P2t5.lSztl0Fhptf1;mkpasswd c -m sha-256 -S bTkS2d9l22Y0fftm -R 6666
sha-256;5UQZ4D/27OiWEG78;99999;A;$5$rounds=99999$5UQZ4D/27OiWEG78$WmqINW8Vhh8fNnCv8l16jpqtUTtp28mgI9UNRs4/KrC;mkpasswd A -m sha-256 -S 5UQZ4D/27OiWEG78 -R 99999
sha-256;;;ma;$5$hKJyxyjFikSmAr/Q$.7/G6tRg5SGy9rg4N/0sKtGkz.4M9BErledYEXxjlp0;mkpasswd ma -m sha-256
sha-256;;999;UM;$5$rounds=1000$Jze9C2k96CI9EUK0$Qe1zLqvMgPgEdzWmfDWmBWloaMk5xNf8EdmL3uy.Hz.;mkpasswd UM -m sha-256 -R 999
sha-256;;1000;d/;$5$rounds=1000$i8//Rmxy3NYRQ134$D2zMfunDY1jMRjOU7yqYHNL6I61PfYGhAvI7mSizpL4;mkpasswd d/ -m sha-256 -R 1000
sha-256;;5000;uQ;$5$dyyDByO8w2qJOwt6$VuHIangJ010Nt4EJ4oRsj7N9vHP0TxHuijqpQ6.uyC9;mkpasswd uQ -m sha-256 -R 5000
sha-256;;6666;gt;$5$rounds=6666$/zFVcpo6riOPsDxW$eTOk1Pfsl9YnHcg8qlZOPnCwalxP29EeTANtaa0gqE1;mkpasswd gt -m sha-256 -R 6666
sha-256;;99999;7f;$5$rounds=99999$t3zibPv6jez5VC8e$DcI6z9UVGHyIqmm3oKIPV1H9yRdbh/jYLlPXmLhk69.;mkpasswd 7f -m sha-256 -R 99999
sha-256;EsY5sVsr;;5p;$5$EsY5sVsr$Suw31pEer5iQj5rGfnajY7kjdlRwlh6m3LEqqx9SjB5;mkpasswd 5p -m sha-256 -S EsY5sVsr
sha-256;n1W0.gqY;1000;Py;$5$rounds=1000$n1W0.gqY$9dOL2q9DvhdafsS2xeVwR/JdLrdW/z9TmDXiW03uiBC;mkpasswd Py -m sha-256 -S n1W0.gqY -R 1000
sha-256;1pZ9N5Ej;5000;NE;$5$rounds=5000$1pZ9N5Ej$MTL.ewqzZTwVAU397NuL8bXS6Mpsfmp/eMLlkNx/1CD;mkpasswd NE -m sha-256 -S 1pZ9N5Ej -R 5000
sha-256;NKvQ.C6J;6666;Gn;$5$rounds=6666$NKvQ.C6J$lfHXl/Z1bgXxWU63UPwlA9rDovGjjVj2DX5AmMnVml7;mkpasswd Gn -m sha-256 -S NKvQ.C6J -R 6666
sha-256;U443plHF;99999;fw;$5$rounds=99999$U443plHF$zOMAH20cdwHBqjJNNFJBaUGMSGU7r5dHJIr1MeH3uY6;mkpasswd fw -m sha-256 -S U443plHF -R 99999
sha-256;Yeptdi9pd;;YQ;$5$Yeptdi9pd$RDPkWDxUg3XkeYnqLEtwlIXPHv9A/BHzQ3TJ1njVRl2;mkpasswd YQ -m sha-256 -S Yeptdi9pd
sha-256;xQuex388b;1000;YO;$5$rounds=1000$xQuex388b$hNdE52/cE.Q0QWN7FXECG99zRcTGpJw9wJMGu/mil6B;mkpasswd YO -m sha-256 -S xQuex388b -R 1000
sha-256;6gKjRn9R3;5000;rK;$5$rounds=5000$6gKjRn9R3$ld7utSzd.eRiaNh4kE//5IdRN9rdgVz3a8ui6KkJzf3;mkpasswd rK -m sha-256 -S 6gKjRn9R3 -R 5000
sha-256;aekRc11IN;6666;Y6;$5$rounds=6666$aekRc11IN$Sv.kydjKYoic501AVf.TcE6llbLdabflGkQ669bnWs5;mkpasswd Y6 -m sha-256 -S aekRc11IN -R 6666
sha-256;0fuR0HuWY;99999;sK;$5$rounds=99999$0fuR0HuWY$2qTQsjsB9KyP5/yT0PaaKeddvYxgGPIcsJ6Cl2I39J.;mkpasswd sK -m sha-256 -S 0fuR0HuWY -R 99999
sha-256;RArw2aT6/A;;5U;$5$RArw2aT6/A$JAOYzZ7LkmerLkGrWWxq7WbwFIqtFx/uW/LuMior4e/;mkpasswd 5U -m sha-256 -S RArw2aT6/A
sha-256;2.6fDNGc8D;1000;ly;$5$rounds=1000$2.6fDNGc8D$ejI53/NOnZ8xYJYzgPEHTmHW4ZLtHI24go06iuL.5i3;mkpasswd ly -m sha-256 -S 2.6fDNGc8D -R 1000
sha-256;.yXbAW1jPE;5000;EY;$5$rounds=5000$.yXbAW1jPE$jj9QyTswDK7JrAbvVsQ0QnkT8cpg5KdSclyyyJ.pnJ.;mkpasswd EY -m sha-256 -S .yXbAW1jPE -R 5000
sha-256;e728LgBZCP;6666;Mo;$5$rounds=6666$e728LgBZCP$uXTmllxjFfzc41f/8W0ergJ8rgA88hHpIue3lZUP2oB;mkpasswd Mo -m sha-256 -S e728LgBZCP -R 6666
sha-256;L6j7VRtKlz;99999;8E;$5$rounds=99999$L6j7VRtKlz$pmyBbVw8xwcKmxSdfZRFaHkARGl64TeE22EMGhZFgS6;mkpasswd 8E -m sha-256 -S L6j7VRtKlz -R 99999
sha-256;7EG7jbbnSbB;;6z;$5$7EG7jbbnSbB$vEt1PEgl/br1DhiIIYQxSMOrg.63MI22VMxgiFPh7P/;mkpasswd 6z -m sha-256 -S 7EG7jbbnSbB
sha-256;cZsS2x1aAHp;1000;A/;$5$rounds=1000$cZsS2x1aAHp$yM4SC0NrGCDkvIUJHVPWrFuIFsk2HF67bE.NepDa.V7;mkpasswd A/ -m sha-256 -S cZsS2x1aAHp -R 1000
sha-256;De8kWFkoCIh;5000;JC;$5$rounds=5000$De8kWFkoCIh$swBAXdsan7J5XgjRO0CiRMQwiZV4pH3mV3YQcMud7T/;mkpasswd JC -m sha-256 -S De8kWFkoCIh -R 5000
sha-256;BCliXEgmxBN;6666;Dp;$5$rounds=6666$BCliXEgmxBN$uW7dhV9bvJwpVWS7uTA4.H3Tz15C8hdZM5vb3nR8Ex2;mkpasswd Dp -m sha-256 -S BCliXEgmxBN -R 6666
sha-256;69Awme3yY46;99999;F7;$5$rounds=99999$69Awme3yY46$9jP9idal.2Fm/sddjvsvE2d3s8nXbuOfo4z8QYti0G.;mkpasswd F7 -m sha-256 -S 69Awme3yY46 -R 99999
sha-256;tNBFoEagsAs8;;fc;$5$tNBFoEagsAs8$TTsnNTKlgZOT2l/u.2XfKIxM6g62slOYxEZqTOjQpr1;mkpasswd fc -m sha-256 -S tNBFoEagsAs8
sha-256;O/DKrvCmwWxm;1000;c2;$5$rounds=1000$O/DKrvCmwWxm$maEUiV2lLB99pSgBH.nNwJPKlZvyJmAdxzRZ/PrgTe0;mkpasswd c2 -m sha-256 -S O/DKrvCmwWxm -R 1000
sha-256;Votu9aJYZZp9;5000;8D;$5$rounds=5000$Votu9aJYZZp9$.WyVRuTGSg.Aab/PyVmfD4GrxFnWismYRcdDzciOJe9;mkpasswd 8D -m sha-256 -S Votu9aJYZZp9 -R 5000
sha-256;Q3jJkanlc09Z;6666;e1;$5$rounds=6666$Q3jJkanlc09Z$xxBo3fnEDG7u7sI5GkkFQhtCISN/ou5ITfD1HoTvJ36;mkpasswd e1 -m sha-256 -S Q3jJkanlc09Z -R 6666
sha-256;vETgTrIj4Sm9;99999;ge;$5$rounds=99999$vETgTrIj4Sm9$QhLdVfmrikQUFA3exTp0IlLDN5pjoT1twB4qdud6Mi4;mkpasswd ge -m sha-256 -S vETgTrIj4Sm9 -R 99999
sha-256;F2PJ/mH1v8F/M;;JQ;$5$F2PJ/mH1v8F/M$J9ZttYOVvCNVDHuy7G3y162say3VgZ7dNf6WPxp.e.6;mkpasswd JQ -m sha-256 -S F2PJ/mH1v8F/M
sha-256;3lV5e43WMXPXP;1000;gn;$5$rounds=1000$3lV5e43WMXPXP$DoUkHmYJ.ok3OWQ6h4iNm/.g14q1kzOV7N3g//FQJk6;mkpasswd gn -m sha-256 -S 3lV5e43WMXPXP -R 1000
sha-256;ryqOe1bh3dXNV;5000;+j;$5$rounds=5000$ryqOe1bh3dXNV$C9D2JaGJzjVe42tlkSrRJDPOUAYWiiFAJ/6vClTYgK6;mkpasswd +j -m sha-256 -S ryqOe1bh3dXNV -R 5000
sha-256;GDKAcNIdwWy.0;6666;L8;$5$rounds=6666$GDKAcNIdwWy.0$bMIj1TRxHsKJXT3ZgJ.BjRCm3C2fMxJNYzEUEFR3nJB;mkpasswd L8 -m sha-256 -S GDKAcNIdwWy.0 -R 6666
sha-256;ltiSW7wiRgV4p;99999;8r;$5$rounds=99999$ltiSW7wiRgV4p$pSMa5k.UNWuw9MQurdkUK6Tdb0BoNMTjB4WMDEfIaDA;mkpasswd 8r -m sha-256 -S ltiSW7wiRgV4p -R 99999
sha-256;/1aWeLUq/51M5q;;gP;$5$/1aWeLUq/51M5q$U8r8jV7TeHtXb/.nLKfwzk3iHAykgGiOKb62xRT6eS3;mkpasswd gP -m sha-256 -S /1aWeLUq/51M5q
sha-256;ALUWhMfBOUQD3e;1000;+f;$5$rounds=1000$ALUWhMfBOUQD3e$SNrekqDDSKrZVKZxrdV6sg9zVTRTsAcX5Tx243cVNQ6;mkpasswd +f -m sha-256 -S ALUWhMfBOUQD3e -R 1000
sha-256;5VrLMyLIHBJLxV;5000;Ro;$5$rounds=5000$5VrLMyLIHBJLxV$QKcXpf8YZKeNMXu6XiAmOwiY2haiixNhm5pTm0.O4P/;mkpasswd Ro -m sha-256 -S 5VrLMyLIHBJLxV -R 5000
sha-256;hPDTNl7j.g54n/;6666;qK;$5$rounds=6666$hPDTNl7j.g54n/$V0MuiGA4n6BCVjMrYa2cNsnINI8AToPRJ8wckHcFZQB;mkpasswd qK -m sha-256 -S hPDTNl7j.g54n/ -R 6666
sha-256;Q.6kQiyJvkaflV;99999;0q;$5$rounds=99999$Q.6kQiyJvkaflV$yVXymltmrOXvz6NW8lznR/3F/s2cyuuX3L0gTgRGAO4;mkpasswd 0q -m sha-256 -S Q.6kQiyJvkaflV -R 99999
sha-256;cWWv4IWafvpXM4s;;ve;$5$cWWv4IWafvpXM4s$1bk9Jas4UHuTpCxyPrfWv163RPn.yi5liSAqhdCWbf4;mkpasswd ve -m sha-256 -S cWWv4IWafvpXM4s
sha-256;x7utyAaTjXUWNgw;1000;pd;$5$rounds=1000$x7utyAaTjXUWNgw$wUQIcLVB44v3.4HtD3OT2slQMFu07ISUZ/0RA8Eqe68;mkpasswd pd -m sha-256 -S x7utyAaTjXUWNgw -R 1000
sha-256;DN3kpH6E5w9ZzVX;5000;1q;$5$rounds=5000$DN3kpH6E5w9ZzVX$E0aMYVNaWOuZwtjhPU.UTKncoq9ORkJ6zeNV5sEPdk6;mkpasswd 1q -m sha-256 -S DN3kpH6E5w9ZzVX -R 5000
sha-256;qzVh/F42jhQOZjy;6666;M6;$5$rounds=6666$qzVh/F42jhQOZjy$tb1D/SHfc48aEoX8kYcmt3pspXs0.5TGPmDA0O.iiO/;mkpasswd M6 -m sha-256 -S qzVh/F42jhQOZjy -R 6666
sha-256;HXOXygcfxj2z72B;99999;1b;$5$rounds=99999$HXOXygcfxj2z72B$2JWnFAnjnoG182Iyb7olcgI6uPVkzstqwmL0tHhbDiD;mkpasswd 1b -m sha-256 -S HXOXygcfxj2z72B -R 99999
sha-256;ZRholb8YL1/STi8S;;Qz;$5$ZRholb8YL1/STi8S$900u0Ex2noJTXCLpmSPrDszTAdioR.ohyzip0pIkjI7;mkpasswd Qz -m sha-256 -S ZRholb8YL1/STi8S
sha-256;tOoXVvrBMvwxS7S2;1000;if;$5$rounds=1000$tOoXVvrBMvwxS7S2$yy5S1pdZ9yfZeFuKQKrdMSKD9jqgfwNJcMi364e6KoB;mkpasswd if -m sha-256 -S tOoXVvrBMvwxS7S2 -R 1000
sha-256;UAYdRfUJItOCXJ6V;5000;QK;$5$rounds=5000$UAYdRfUJItOCXJ6V$AB67IRMwh810esQbTI9qkfv3ZxIo/.8K3xZ.Y0hlBBC;mkpasswd QK -m sha-256 -S UAYdRfUJItOCXJ6V -R 5000
sha-256;JusO8E7FPVJIASBI;6666;xe;$5$rounds=6666$JusO8E7FPVJIASBI$bx8WFKQ.n0I7cSuFkCpXkfBcUJJNaaxC5c1DaQ9boK5;mkpasswd xe -m sha-256 -S JusO8E7FPVJIASBI -R 6666
sha-256;0QbbMCKhiQ.tmNgD;99999;5n;$5$rounds=99999$0QbbMCKhiQ.tmNgD$kYvqfjNFcYrvR4BSnfDEcVPW3DQE.zwVucdTiv8qvb6;mkpasswd 5n -m sha-256 -S 0QbbMCKhiQ.tmNgD -R 99999
sha-256;;;ckI;$5$iBN6/JCeMKazlFlG$2Nv25EkIU.yevSOxNyCjgHpscitoRgTKkSNC6/PEkH.;mkpasswd ckI -m sha-256
sha-256;;999;9VY;$5$rounds=1000$vG.REVdD0cxQ0Ew/$loEZGhxjB/dK2n69w7L1yNgPFlm.c1Hkw5zybjNMtO9;mkpasswd 9VY -m sha-256 -R 999
sha-256;;1000;P+A;$5$rounds=1000$JIKAFYdj4AlTutXo$56hxgW/Fbn1MVN5Qmeahz/pTtWBblxdKi77OHmQ3F16;mkpasswd P+A -m sha-256 -R 1000
sha-256;;5000;eoz;$5$g/4uti/BpAAAi5/5$0SjeJZvok.A6nhEgErgVU2D2OSS6ZWL4egpml6r79m2;mkpasswd eoz -m sha-256 -R 5000
sha-256;;6666;LuV;$5$rounds=6666$csOzHwO2ree3C7Jm$XnT9fzctO.isB9rEWCDEz26sKXHeloNcsowTtN79.T8;mkpasswd LuV -m sha-256 -R 6666
sha-256;;99999;iGL;$5$rounds=99999$tEY0WpY.3bgm8NJz$Gx/VGEabmegphbxbDCMXL4aLfo/t/KpBBBgrZrPtBz5;mkpasswd iGL -m sha-256 -R 99999
sha-256;8L78FuFK;;X/X;$5$8L78FuFK$ocIegnGhge1jdSBdnkyd.go2i5VXAbIFQda.tNd4bS/;mkpasswd X/X -m sha-256 -S 8L78FuFK
sha-256;dFxyhGTU;1000;Xvk;$5$rounds=1000$dFxyhGTU$4LRO0F4N6D3bCni.uag15hCXfjngxFE6EdjcOLGmwj5;mkpasswd Xvk -m sha-256 -S dFxyhGTU -R 1000
sha-256;6aH4wULU;5000;kfH;$5$rounds=5000$6aH4wULU$oc8NXfbuYuMkC28Vk6hMUWPCinfF.Q/yILSrECXv8G.;mkpasswd kfH -m sha-256 -S 6aH4wULU -R 5000
sha-256;Ito.AqYK;6666;irE;$5$rounds=6666$Ito.AqYK$wpLml81R8yuqcPMuXXir7DWIx1kv2QS7jxwdMG32/j0;mkpasswd irE -m sha-256 -S Ito.AqYK -R 6666
sha-256;JmM8tvr.;99999;ks9;$5$rounds=99999$JmM8tvr.$4A5Y2i.d/eAvI3qYMZgc5xq7d.r55Ep/MRILIeXq.44;mkpasswd ks9 -m sha-256 -S JmM8tvr. -R 99999
sha-256;hCA..uJTx;;Vgv;$5$hCA..uJTx$gZEMcMQDXHiSyNGtz9aXdngiJJ5puUo.7nllX/qUoR3;mkpasswd Vgv -m sha-256 -S hCA..uJTx
sha-256;6dD2AcUeK;1000;DhW;$5$rounds=1000$6dD2AcUeK$l1AO8063upX0SPP1Llzjr3Z9MQCtm/5VsQt0PkazRzD;mkpasswd DhW -m sha-256 -S 6dD2AcUeK -R 1000
sha-256;URDKtTH/W;5000;TLq;$5$rounds=5000$URDKtTH/W$c8r4JVFIGffVj8Ih57quEhljoW7o8kn70aaBnlJdGe.;mkpasswd TLq -m sha-256 -S URDKtTH/W -R 5000
sha-256;Ep7RDyteP;6666;ssl;$5$rounds=6666$Ep7RDyteP$m0t5CgYPvF4cs/2EuJrJn..3KOwzwU7WcsmDhJbUUW.;mkpasswd ssl -m sha-256 -S Ep7RDyteP -R 6666
sha-256;C8ZmkHNaA;99999;is+;$5$rounds=99999$C8ZmkHNaA$tTjC8VbRsw7Ky4R9AgaX3eGruM7QX6Kd5JQL/AA0Gd6;mkpasswd is+ -m sha-256 -S C8ZmkHNaA -R 99999
sha-256;FuUucIgaJa;;MAR;$5$FuUucIgaJa$qFbOzvaj8DYIlBkI4nJjCJmY8pnzDRidxLjihXS6QF.;mkpasswd MAR -m sha-256 -S FuUucIgaJa
sha-256;5L66/76Ec9;1000;0wx;$5$rounds=1000$5L66/76Ec9$8M1OaquLSRRPusCbI8qWt.xedUmdXqFAo76HmuKPLyC;mkpasswd 0wx -m sha-256 -S 5L66/76Ec9 -R 1000
